Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Lao PDR,LAO,GDP per capita (current US$),NY.GDP.PCAP.CD,319,320,314,356,410,467,581,699,888,937,1128,1364,1566,1815,1985,2125,2309,2439,2553,2599,2593,2536,
Lebanon,LBN,GDP per capita (current US$),NY.GDP.PCAP.CD,3995,4021,4307,4458,4625,4630,4666,5162,5958,7150,7695,7914,8500,8255,7665,7803,8172,8680,9226,8986,5600,4136,
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,302,304,303,242,287,291,324,378,456,453,497,574,644,718,714,700,722,707,700,666,598,676,
Libya,LBY,GDP per capita (current US$),NY.GDP.PCAP.CD,7424,6465,3789,4739,5824,8108,10060,11159,13921,9561,11611,7784,15765,12589,9409,7868,7945,10529,11838,10542,7568,6357,
St. Lucia,LCA,GDP per capita (current US$),NY.GDP.PCAP.CD,5847,5558,5562,6056,6495,6866,7619,7976,8529,8259,8698,9161,9272,9569,10007,10290,10574,11270,11564,11727,8458,9414,
Latin America & Caribbean,LCN,GDP per capita (current US$),NY.GDP.PCAP.CD,4398,4243,3759,3786,4306,5142,5948,6928,7964,7402,9081,10220,10217,10357,10452,8645,8364,9201,8916,8707,7290,8328,
Least developed countries: UN classification,LDC,GDP per capita (current US$),NY.GDP.PCAP.CD,328,313,331,362,408,471,533,625,745,733,813,922,945,1006,1055,997,1022,1115,1073,1100,1096,1165,
Low income,LIC,GDP per capita (current US$),NY.GDP.PCAP.CD,296,272,285,307,348,401,457,545,624,628,682,738,732,771,801,776,792,864,759,751,737,794,
Liechtenstein,LIE,GDP per capita (current US$),NY.GDP.PCAP.CD,75212,74659,79798,90314,100710,105750,114656,130905,143539,126266,141468,158611,149459,173660,179458,167806,165845,170874,175284,167020,157755,,
Sri Lanka,LKA,GDP per capita (current US$),NY.GDP.PCAP.CD,870,833,867,982,1066,1249,1436,1630,2037,2090,2894,3321,3449,3741,3972,4060,4151,4401,4361,4083,3894,4014,
Lower middle income,LMC,GDP per capita (current US$),NY.GDP.PCAP.CD,618,620,651,735,837,955,1114,1346,1499,1503,1809,2048,2116,2119,2176,2088,2169,2298,2324,2386,2269,2573,
Low & middle income,LMY,GDP per capita (current US$),NY.GDP.PCAP.CD,1186,1179,1192,1324,1549,1819,2129,2594,3063,2957,3551,4134,4339,4532,4626,4329,4313,4680,4901,4952,4724,5494,
Lesotho,LSO,GDP per capita (current US$),NY.GDP.PCAP.CD,444,413,388,581,761,851,911,848,886,866,1105,1266,1206,1141,1165,1114,986,1063,1162,1103,990,1094,
Late-demographic dividend,LTE,GDP per capita (current US$),NY.GDP.PCAP.CD,1665,1708,1799,2036,2432,2916,3496,4377,5406,5190,6206,7517,7989,8541,8812,8213,8183,9022,9839,9979,9707,11466,
Lithuania,LTU,GDP per capita (current US$),NY.GDP.PCAP.CD,3293,3526,4142,5499,6700,7855,9231,12285,14945,11821,11988,14377,14368,15730,16551,14264,15008,16885,19186,19595,20340,23723,
Luxembourg,LUX,GDP per capita (current US$),NY.GDP.PCAP.CD,48660,48440,53006,65689,76545,80988,90789,107475,120422,109420,110886,119025,112585,120000,123679,105462,106899,110193,116787,112622,117370,133590,
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,3362,3578,4137,5145,6379,7595,9723,14114,16467,12332,11421,13339,13847,15007,15742,13786,14332,15695,17865,17945,18207,21148,
"Macao SAR, China",MAC,GDP per capita (current US$),NY.GDP.PCAP.CD,15685,15623,16394,17829,22382,24886,29638,35783,39746,39755,50676,64528,74111,86853,90874,73220,71919,78986,84923,83183,37646,43874,
St. Martin (French part),MAF,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,21345,,,21921,,,,,,,,
Morocco,MAR,GDP per capita (current US$),NY.GDP.PCAP.CD,1348,1351,1427,1737,1964,2026,2201,2501,2889,2864,2835,3041,2907,3118,3431,3139,3133,3289,3493,3499,3258,3795,
Monaco,MCO,GDP per capita (current US$),NY.GDP.PCAP.CD,81561,83802,91675,111441,128363,130770,143169,184392,203267,168256,161783,179373,165505,185067,195780,170338,174611,173613,194281,199377,182539,234315,
Moldova,MDA,GDP per capita (current US$),NY.GDP.PCAP.CD,441,507,571,682,897,1034,1183,1531,2111,1898,2437,2941,3045,3321,3328,2731,2879,3510,4232,4493,4501,5231,
Madagascar,MDG,GDP per capita (current US$),NY.GDP.PCAP.CD,285,325,311,360,278,312,331,428,523,455,459,517,504,527,517,456,465,503,513,512,462,501,
Maldives,MDV,GDP per capita (current US$),NY.GDP.PCAP.CD,2210,3028,3069,3540,4061,3789,5010,5747,6743,6719,7158,7409,7447,8223,8872,9434,9640,10063,10824,11119,7282,10366,
Middle East & North Africa,MEA,GDP per capita (current US$),NY.GDP.PCAP.CD,3271,3190,3114,3388,3922,4618,5288,6098,7418,6546,7479,8261,8760,8434,8322,7183,7111,7252,7477,7337,6491,7569,
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,7233,7613,7651,7120,7525,8322,9125,9720,10120,8105,9400,10342,10376,10866,11076,9753,8875,9434,9857,10145,8655,10046,
Marshall Islands,MHL,GDP per capita (current US$),NY.GDP.PCAP.CD,2127,2257,2417,2411,2442,2534,2633,2773,2712,2811,3001,3239,3445,3612,3673,3704,4153,4508,4769,5189,5568,6172,
Middle income,MIC,GDP per capita (current US$),NY.GDP.PCAP.CD,1249,1243,1256,1398,1639,1927,2260,2761,3264,3152,3800,4479,4716,4935,5041,4720,4709,5116,5384,5449,5206,6074,
North Macedonia,MKD,GDP per capita (current US$),NY.GDP.PCAP.CD,1862,1823,1989,2440,2796,3073,3363,4079,4841,4585,4578,5098,4728,5241,5496,4862,5150,5450,6109,6070,5965,6695,
Mali,MLI,GDP per capita (current US$),NY.GDP.PCAP.CD,263,299,327,382,428,474,507,579,676,681,688,810,753,779,818,724,750,796,856,840,823,874,
Malta,MLT,GDP per capita (current US$),NY.GDP.PCAP.CD,11083,11081,11853,13772,15243,15866,16724,19486,22205,21083,21799,23156,22528,24771,26754,24922,25624,28824,31568,31198,28978,33487,
Myanmar,MMR,GDP per capita (current US$),NY.GDP.PCAP.CD,150,135,131,165,198,222,247,322,472,601,765,1087,1161,1196,1239,1225,1162,1175,1275,1295,1477,1210,
Middle East & North Africa (excluding high income),MNA,GDP per capita (current US$),NY.GDP.PCAP.CD,1874,1858,1776,1905,2220,2571,2941,3519,4260,4070,4603,4654,4930,4446,4318,3806,3833,3739,3491,3439,3094,3573,
Montenegro,MNE,GDP per capita (current US$),NY.GDP.PCAP.CD,1627,1910,2107,2789,3380,3675,4426,5976,7368,6727,6688,7329,6587,7189,7388,6517,7034,7803,8850,8910,7677,9466,
Mongolia,MNG,GDP per capita (current US$),NY.GDP.PCAP.CD,464,513,560,634,785,986,1323,1625,2135,1719,2660,3794,4402,4422,4212,3919,3691,3708,4165,4395,4041,4566,
Northern Mariana Islands,MNP,GDP per capita (current US$),NY.GDP.PCAP.CD,,,16640,16603,16829,15371,14986,14877,15642,13934,14772,13880,14248,14806,16044,17665,24055,30752,25883,23707,,,
Mozambique,MOZ,GDP per capita (current US$),NY.GDP.PCAP.CD,318,296,304,329,387,423,443,491,575,531,481,605,668,672,680,594,431,463,505,508,450,492,
Mauritania,MRT,GDP per capita (current US$),NY.GDP.PCAP.CD,660,632,630,711,802,975,1272,1378,1610,1419,1646,1919,1850,1930,1715,1563,1579,1635,1750,1840,1868,2166,
Mauritius,MUS,GDP per capita (current US$),NY.GDP.PCAP.CD,3929,3857,4019,4794,5388,5283,5696,6575,8030,7318,8000,9197,9291,9767,10369,9510,9968,10844,11646,11406,9007,9106,
Malawi,MWI,GDP per capita (current US$),NY.GDP.PCAP.CD,155,149,297,265,280,287,305,328,383,433,473,528,387,344,367,376,312,500,538,584,629,635,
Malaysia,MYS,GDP per capita (current US$),NY.GDP.PCAP.CD,4088,3941,4177,4455,4924,5537,6137,7144,8343,7168,8880,10209,10602,10728,11045,9700,9556,9980,11074,11132,10161,11109,
North America,NAC,GDP per capita (current US$),NY.GDP.PCAP.CD,35151,35831,36652,38395,40788,43368,45741,47727,48398,46581,48553,50289,51881,53234,54714,55452,56312,58424,61175,63199,61452,68370,
Namibia,NAM,GDP per capita (current US$),NY.GDP.PCAP.CD,2156,1916,1773,2572,3408,3693,4028,4395,4222,4323,5445,5873,6017,5463,5544,4966,4615,5454,5687,5126,4251,4866,
New Caledonia,NCL,GDP per capita (current US$),NY.GDP.PCAP.CD,16039,15174,16886,21817,25771,26862,29604,36865,37354,35391,37495,40698,37294,38503,39676,32429,32287,33875,36313,34798,34801,37160,
Niger,NER,GDP per capita (current US$),NY.GDP.PCAP.CD,193,204,223,263,281,316,331,385,472,458,472,508,525,548,561,481,497,515,567,551,565,591,
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,565,577,734,787,993,1250,1652,1876,2228,1884,2280,2505,2728,2977,3201,2680,2145,1942,2126,2204,2075,2066,
Nicaragua,NIC,GDP per capita (current US$),NY.GDP.PCAP.CD,997,1025,993,1000,1076,1159,1223,1324,1494,1438,1496,1645,1746,1795,1914,2025,2079,2127,1982,1890,1863,2046,
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,26214,26897,29343,35751,40437,41995,44901,51799,57880,52722,51000,54230,50070,52199,52901,45193,46039,48675,53045,52476,52163,57768,
Norway,NOR,GDP per capita (current US$),NY.GDP.PCAP.CD,38131,38543,43084,50135,57604,66810,74148,85140,96944,79978,87694,100601,101524,102913,97019,74356,70461,75497,82268,75720,67330,89154,
Nepal,NPL,GDP per capita (current US$),NY.GDP.PCAP.CD,224,241,239,246,280,309,341,387,467,476,589,791,794,809,828,882,880,1028,1162,1186,1139,1208,
Nauru,NRU,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,4645,6424,9281,9210,9566,7736,8719,9361,10401,9786,9308,10648,
New Zealand,NZL,GDP per capita (current US$),NY.GDP.PCAP.CD,13641,13883,16874,21914,25420,27751,26655,32480,31253,28209,33677,38388,39973,42977,44573,38631,40058,42925,43250,42865,41597,48781,
OECD members,OED,GDP per capita (current US$),NY.GDP.PCAP.CD,23026,22637,23443,26031,28768,30197,31621,34357,36205,33635,35053,37510,37239,37492,38001,35599,36049,37403,39348,39532,38327,42447,
Oman,OMN,GDP per capita (current US$),NY.GDP.PCAP.CD,8321,8192,8380,8897,10030,12358,14534,16151,22974,17938,22552,24166,24723,23564,23121,18777,17082,17803,19888,19132,16708,19509,
Other small states,OSS,GDP per capita (current US$),NY.GDP.PCAP.CD,4276,4179,4428,5409,6595,7830,8969,10676,12721,10650,12135,14657,14983,15301,15444,12502,12087,12894,14063,13540,11683,13879,
Pakistan,PAK,GDP per capita (current US$),NY.GDP.PCAP.CD,531,499,489,550,631,689,771,838,915,884,911,1075,1110,1126,1173,1282,1469,1568,1621,1437,1322,1505,
Panama,PAN,GDP per capita (current US$),NY.GDP.PCAP.CD,4099,4084,4164,4304,4629,4953,5386,6206,7197,7618,8125,9403,10767,11932,12837,13670,14382,15186,15588,15826,12569,14618,
Peru,PER,GDP per capita (current US$),NY.GDP.PCAP.CD,1941,1926,2004,2126,2394,2702,3123,3572,4185,4165,5047,5827,6476,6697,6615,6180,6164,6676,6912,6956,6056,6622,
Philippines,PHL,GDP per capita (current US$),NY.GDP.PCAP.CD,1073,991,1037,1049,1123,1245,1452,1742,1990,1893,2202,2431,2672,2848,2936,2974,3038,3077,3195,3414,3224,3461,
Palau,PLW,GDP per capita (current US$),NY.GDP.PCAP.CD,7416,7913,8220,7745,8298,9604,9806,10270,10380,9961,10029,10796,11835,12419,13580,15761,16743,16012,15948,15567,14016,12084,
Papua New Guinea,PNG,GDP per capita (current US$),NY.GDP.PCAP.CD,639,541,509,581,624,749,1245,1379,1635,1579,1879,2304,2653,2579,2742,2502,2333,2495,2584,2594,2446,2673,
Poland,POL,GDP per capita (current US$),NY.GDP.PCAP.CD,4501,4991,5207,5702,6681,8022,9035,11255,13996,11526,12504,13777,13011,13558,14182,12560,12379,13816,15505,15700,15817,18000,
Pre-demographic dividend,PRE,GDP per capita (current US$),NY.GDP.PCAP.CD,501,464,518,547,662,803,986,1162,1409,1250,1428,1615,1703,1814,1871,1551,1386,1436,1456,1463,1337,1419,
Puerto Rico,PRI,GDP per capita (current US$),NY.GDP.PCAP.CD,16192,18123,18731,19557,20989,21959,22936,23665,24898,25769,26436,27279,27945,28513,28981,29763,30627,31109,31615,32917,31394,32641,
"Korea, Dem. People's Rep.",PRK,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,
Portugal,PRT,GDP per capita (current US$),NY.GDP.PCAP.CD,11526,11735,12937,15798,18064,18780,19839,22811,24949,23151,22521,23217,20564,21653,22104,19250,19992,21490,23563,23331,22242,24568,
Paraguay,PRY,GDP per capita (current US$),NY.GDP.PCAP.CD,1728,1630,1361,1437,1777,1961,2426,3194,4360,3920,4726,5776,5617,6411,6629,5861,5759,6136,6243,5808,5353,5891,
West Bank and Gaza,PSE,GDP per capita (current US$),NY.GDP.PCAP.CD,1476,1336,1156,1258,1422,1544,1570,1664,2035,2192,2557,2881,3067,3315,3352,3272,3528,3620,3562,3657,3234,3664,
Pacific island small states,PSS,GDP per capita (current US$),NY.GDP.PCAP.CD,1688,1642,1701,2000,2273,2494,2586,2818,2978,2650,2883,3325,3482,3585,3854,3725,3868,4128,4284,4233,3707,3644,
Post-demographic dividend,PST,GDP per capita (current US$),NY.GDP.PCAP.CD,25861,25488,26453,29511,32625,34155,35743,38784,40837,38249,39711,42530,42287,42521,43166,40638,41370,42968,45382,45701,44475,49224,
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,14346,14012,15302,18724,20829,21047,21382,23838,25438,23326,21448,21748,19865,20942,21223,18253,18727,19744,20615,20024,18910,19915,
Qatar,QAT,GDP per capita (current US$),NY.GDP.PCAP.CD,27495,25836,27151,31440,40792,52468,59979,64707,79812,60734,73021,92993,98041,97631,93126,66985,58467,59408,66264,62637,52316,66838,
Romania,ROU,GDP per capita (current US$),NY.GDP.PCAP.CD,1660,1825,2120,2679,3495,4618,5757,8360,10435,8548,8398,9560,8931,9497,10031,8977,9404,10728,12494,12958,13047,14858,
Russian Federation,RUS,GDP per capita (current US$),NY.GDP.PCAP.CD,1772,2100,2378,2975,4102,5323,6920,9101,11635,8563,10675,14311,15421,15975,14096,9313,8705,10720,11287,11536,10169,12195,
Rwanda,RWA,GDP per capita (current US$),NY.GDP.PCAP.CD,255,239,235,249,270,325,358,427,529,565,594,651,706,704,724,733,728,757,769,807,775,822,
South Asia,SAS,GDP per capita (current US$),NY.GDP.PCAP.CD,448,450,463,531,605,682,764,946,947,1029,1242,1352,1348,1365,1476,1524,1676,1888,1920,1963,1852,2150,
Saudi Arabia,SAU,GDP per capita (current US$),NY.GDP.PCAP.CD,8795,8337,8381,9322,10935,13463,14849,15756,18945,15065,17959,22263,23879,23716,23544,19978,19300,20138,23319,22430,19540,23186,
Sudan,SDN,GDP per capita (current US$),NY.GDP.PCAP.CD,378,471,529,607,737,946,1180,1501,1586,1383,1706,1983,1797,1835,2076,2226,2614,3189,770,748,608,752,
Senegal,SEN,GDP per capita (current US$),NY.GDP.PCAP.CD,620,655,688,840,942,1003,1039,1210,1420,1324,1287,1384,1335,1392,1417,1238,1291,1385,1484,1462,1490,1637,
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,23852,21700,22160,23730,27609,29961,33769,39433,40007,38927,47237,53890,55546,56967,57563,55647,56860,61151,66859,65831,60729,72794,
Solomon Islands,SLB,GDP per capita (current US$),NY.GDP.PCAP.CD,976,930,768,906,992,1146,1251,1378,1505,1526,1662,1921,2088,2208,2236,2135,2196,2284,2450,2399,2222,2305,
Sierra Leone,SLE,GDP per capita (current US$),NY.GDP.PCAP.CD,139,225,244,259,262,290,324,363,411,392,401,445,560,706,702,577,490,484,520,507,493,480,
El Salvador,SLV,GDP per capita (current US$),NY.GDP.PCAP.CD,1978,2051,2107,2197,2274,2434,2651,2815,2964,2890,3017,3305,3471,3555,3639,3762,3870,3986,4146,4280,3903,4551,
San Marino,SMR,GDP per capita (current US$),NY.GDP.PCAP.CD,37474,39415,41770,51198,59250,60521,63693,71970,77962,66201,59517,55816,48436,50438,50135,42282,43399,44886,48463,47287,45320,,
Somalia,SOM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,356,378,388,387,377,380,406,416,447,
Serbia,SRB,GDP per capita (current US$),NY.GDP.PCAP.CD,915,1727,2284,3005,3503,3720,4383,5848,7101,6169,5735,6809,6016,6755,6600,5589,5765,6293,7252,7417,7734,9230,
Sub-Saharan Africa (excluding high income),SSA,GDP per capita (current US$),NY.GDP.PCAP.CD,629,586,622,764,924,1069,1230,1387,1530,1431,1655,1817,1837,1899,1930,1674,1524,1609,1630,1607,1492,1632,
South Sudan,SSD,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,1653,1325,1503,1455,1115,1659,1245,1072,,,,,,,
Sub-Saharan Africa,SSF,GDP per capita (current US$),NY.GDP.PCAP.CD,630,587,623,765,925,1070,1231,1388,1531,1432,1656,1818,1838,1900,1932,1675,1525,1610,1632,1608,1493,1633,
Small states,SST,GDP per capita (current US$),NY.GDP.PCAP.CD,4313,4266,4495,5292,6274,7350,8384,9828,11586,9727,10983,13023,13380,13663,13837,11586,11164,11854,12808,12428,10703,12589,
Sao Tome and Principe,STP,GDP per capita (current US$),NY.GDP.PCAP.CD,,519,568,664,727,844,862,878,1081,1054,1080,1244,1320,1551,1755,1571,1688,1806,1951,1992,2161,2361,
Suriname,SUR,GDP per capita (current US$),NY.GDP.PCAP.CD,1978,1712,2206,2529,2907,3474,5031,5562,6617,7177,8000,8009,8923,9125,9199,8908,5705,6113,6731,6690,4797,4869,
Slovak Republic,SVK,GDP per capita (current US$),NY.GDP.PCAP.CD,5427,5722,6565,8732,10691,11690,13171,16106,18754,16597,16909,18510,17498,18276,18720,16391,16563,17585,19486,19383,19546,21392,
Slovenia,SVN,GDP per capita (current US$),NY.GDP.PCAP.CD,10201,10480,11777,14849,17233,18099,19673,23818,27596,24792,23532,25128,22642,23503,24247,20890,21678,23514,26124,26016,25545,29291,
Sweden,SWE,GDP per capita (current US$),NY.GDP.PCAP.CD,29625,27248,29899,37322,42822,43437,46594,53700,56153,46947,52869,60756,58038,61127,60020,51545,51965,53792,54589,51939,52838,61029,
Eswatini,SWZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1687,1481,1363,2076,2599,2965,3054,3200,3022,3270,4036,4361,4397,4111,3929,3583,3340,3824,4020,3843,3373,3978,
Sint Maarten (Dutch part),SXM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,27997,28460,27943,33044,32275,31617,29369,28988,,,,
Seychelles,SYC,GDP per capita (current US$),NY.GDP.PCAP.CD,7579,7663,8331,8525,10177,11093,12014,12155,11123,9707,10805,12189,11998,14765,15188,15158,15740,16417,16911,17254,12809,14653,
Syrian Arab Republic,SYR,GDP per capita (current US$),NY.GDP.PCAP.CD,4942,5187,5276,5434,6241,7222,7915,8696,10156,10288,11305,2971,1911,994,1071,857,664,862,1104,1117,533,,
Turks and Caicos Islands,TCA,GDP per capita (current US$),NY.GDP.PCAP.CD,,18324,17803,18849,21234,24115,28729,29446,31460,24603,23104,23650,22666,22452,24041,25783,26995,25659,26832,27795,20882,20909,
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,168,200,226,298,460,665,717,807,936,808,897,988,970,980,1018,774,692,663,720,702,644,686,
East Asia & Pacific (IDA & IBRD countries),TEA,GDP per capita (current US$),NY.GDP.PCAP.CD,966,1019,1117,1253,1442,1657,1979,2482,3116,3355,4052,4916,5437,5948,6362,6575,6665,7229,8033,8260,8354,9880,
Europe & Central Asia (IDA & IBRD countries),TEC,GDP per capita (current US$),NY.GDP.PCAP.CD,2052,2089,2351,2891,3739,4680,5654,7261,8966,7081,8285,10029,10421,10962,10295,7993,7641,8532,8870,9020,8423,9842,
Togo,TGO,GDP per capita (current US$),NY.GDP.PCAP.CD,298,288,323,390,406,399,400,440,534,528,522,574,559,608,628,559,787,814,884,876,897,973,
Thailand,THA,GDP per capita (current US$),NY.GDP.PCAP.CD,2004,1890,2091,2351,2647,2876,3344,3935,4328,4154,4996,5397,5749,6041,5822,5709,5854,6437,7125,7630,6991,7066,
Tajikistan,TJK,GDP per capita (current US$),NY.GDP.PCAP.CD,137,169,187,233,305,334,401,517,705,667,740,838,959,1038,1094,970,801,844,851,889,852,897,
Turkmenistan,TKM,GDP per capita (current US$),NY.GDP.PCAP.CD,636,763,950,1256,1419,1659,2074,2520,3779,3902,4287,5453,6442,7050,7686,6208,6163,6355,6721,7345,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP per capita (current US$),NY.GDP.PCAP.CD,4311,4136,3630,3649,4169,5012,5822,6813,7869,7288,9007,10158,10144,10280,10370,8497,8199,9051,8754,8526,7081,8109,
Timor-Leste,TLS,GDP per capita (current US$),NY.GDP.PCAP.CD,418,535,516,529,466,477,456,532,622,682,810,937,1020,1201,1222,1322,1348,1284,1239,1584,1660,2741,
Middle East & North Africa (IDA & IBRD countries),TMN,GDP per capita (current US$),NY.GDP.PCAP.CD,1878,1863,1782,1912,2229,2582,2955,3539,4284,4091,4625,4673,4951,4458,4329,3812,3836,3741,3490,3436,3092,3572,
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,1997,1755,1761,1937,2196,2478,2752,2799,3221,2915,3416,3852,4379,4208,4125,4118,3978,4367,4650,4879,4606,4426,
South Asia (IDA & IBRD),TSA,GDP per capita (current US$),NY.GDP.PCAP.CD,448,450,463,531,605,682,764,946,947,1029,1242,1352,1348,1365,1476,1524,1676,1888,1920,1963,1852,2150,
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP per capita (current US$),NY.GDP.PCAP.CD,630,587,623,765,925,1070,1231,1388,1531,1432,1656,1818,1838,1900,1932,1675,1525,1610,1632,1608,1493,1633,
Trinidad and Tobago,TTO,GDP per capita (current US$),NY.GDP.PCAP.CD,6121,6593,6693,8352,9757,11674,13341,15627,20011,13683,15712,17910,18961,19822,20328,18390,15991,16095,16164,15691,13872,16033,
Tunisia,TUN,GDP per capita (current US$),NY.GDP.PCAP.CD,2170,2208,2293,2693,3030,3107,3279,3678,4200,4029,4241,4362,4234,4308,4399,3961,3796,3570,3577,3478,3498,3807,
Turkiye,TUR,GDP per capita (current US$),NY.GDP.PCAP.CD,4278,3100,3641,4705,6032,7369,8004,9669,10803,8990,10615,11308,11697,12508,12021,10852,10734,10464,9401,9103,8561,9661,
Tuvalu,TUV,GDP per capita (current US$),NY.GDP.PCAP.CD,1564,1452,1753,2012,2328,2311,2402,2803,3103,2698,3043,3663,3625,3537,3556,3384,3836,4176,4401,4949,4974,5632,
Tanzania,TZA,GDP per capita (current US$),NY.GDP.PCAP.CD,399,395,400,420,448,480,473,539,672,681,731,769,855,955,1013,929,942,976,1011,1052,1042,1099,
Uganda,UGA,GDP per capita (current US$),NY.GDP.PCAP.CD,258,236,242,251,292,331,347,402,473,800,825,837,797,820,898,864,754,766,793,823,847,884,
Ukraine,UKR,GDP per capita (current US$),NY.GDP.PCAP.CD,658,808,912,1088,1417,1894,2391,3198,4067,2639,3078,3705,4005,4188,3105,2125,2188,2638,3097,3661,3752,4836,
Upper middle income,UMC,GDP per capita (current US$),NY.GDP.PCAP.CD,1968,1961,1959,2177,2590,3089,3645,4486,5434,5196,6290,7546,8022,8538,8730,8132,8025,8821,9436,9534,9158,10828,
Uruguay,URY,GDP per capita (current US$),NY.GDP.PCAP.CD,6932,6331,4115,3639,4130,5233,5893,7033,9102,9468,12016,14268,15207,17015,16876,15656,16766,18770,18825,17860,15620,17313,
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,36330,37134,37998,39490,41725,44123,46302,48050,48570,47195,48651,50066,51784,53291,55124,56763,57867,59908,62823,65120,63531,70249,
Uzbekistan,UZB,GDP per capita (current US$),NY.GDP.PCAP.CD,558,457,383,396,465,547,654,830,1082,1213,1742,2051,2268,2420,2628,2754,2705,1917,1597,1784,1750,1983,
St. Vincent and the Grenadines,VCT,GDP per capita (current US$),NY.GDP.PCAP.CD,3760,4066,4299,4501,4883,5176,5775,6439,6641,6503,6591,6566,6754,7118,7211,7387,7685,8031,8400,8674,8335,8666,
"Venezuela, RB",VEN,GDP per capita (current US$),NY.GDP.PCAP.CD,4795,4940,3667,3243,4288,5456,6770,8369,11311,11642,13693,10877,12938,12434,15976,,,,,,,,
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,30062,31731,35006,40829,41377,44159,39152,38753,39905,38997,37795,34598,33045,34007,35325,35365,36654,38596,39552,,
Vietnam,VNM,GDP per capita (current US$),NY.GDP.PCAP.CD,395,409,435,485,552,693,791,913,1158,1226,1684,1954,2190,2367,2559,2595,2761,2992,3267,3491,3586,3756,
Vanuatu,VUT,GDP per capita (current US$),NY.GDP.PCAP.CD,1416,1309,1299,1517,1718,1815,1971,2261,2525,2472,2733,3065,2906,2877,2861,2644,2757,3032,3077,3077,2878,2997,
World,WLD,GDP per capita (current US$),NY.GDP.PCAP.CD,5507,5400,5535,6128,6819,7292,7804,8686,9428,8831,9557,10471,10573,10735,10896,10154,10207,10743,11285,11321,10883,12237,
Samoa,WSM,GDP per capita (current US$),NY.GDP.PCAP.CD,1407,1435,1510,1779,2168,2528,2640,3011,3344,3251,3494,3790,3902,3990,3949,4049,4106,4262,4189,4308,4043,3857,
Kosovo,XKX,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,2965,2848,3010,3541,3411,3705,3903,3521,3760,4009,4384,4416,4311,5270,
"Yemen, Rep.",YEM,GDP per capita (current US$),NY.GDP.PCAP.CD,518,515,544,583,669,785,868,956,1154,1046,1249,1285,1350,1498,1558,1488,1070,894,702,,,,
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,3242,2867,2708,4096,5268,5893,6140,6662,6252,6444,8060,8737,8174,7441,6965,6205,5735,6734,7049,6689,5742,7055,
Zambia,ZMB,GDP per capita (current US$),NY.GDP.PCAP.CD,364,402,399,452,556,720,1066,1133,1394,1151,1469,1644,1730,1840,1725,1308,1250,1496,1475,1268,957,1137,
Zimbabwe,ZWE,GDP per capita (current US$),NY.GDP.PCAP.CD,565,569,529,474,477,471,441,425,352,762,938,1083,1290,1408,1407,1410,1422,1192,2269,1422,1373,1774,
Aruba,ABW,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,19950000,5370000,16860000,87220000,190000,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,120420000,394850000,1037270000,1126570000,1683040000,1660610000,2014760000,4327230000,4025750000,5103830000,5426350000,5868610000,5719720000,4332480000,4335020000,3847870000,3665120000,3532840000,3532950000,3961870000,3583180000,,
Africa Western and Central,AFW,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,,,,,,,,,,,,,,,,,,,,,,,
